公司名称,地区,地址,联系人,职务,电子邮件,电话号码,邮政编码,主营,,客户类别,所属新野,人数,注册资金,开业日期,传真
上海三凯物业经营管理有限公司,上海,上海市外高桥保税区新灵路１０６号２１５室,池洪,,,50460221,200131,国际贸易，区内商业性简单加工和生活配套服务业务，区内物业管理及房屋租赁业务，区内商务咨询服务（涉及许可经营的凭许可证经营）,,有限责任公司,房地产管理业,180,400,2002-6-18
上海树强国际贸易有限公司,上海,上海市外高桥保税区富特西一路３３３号Ｃ５－１部位,吴华珠,,,13601843843,200137,国际贸易，区内企业间贸易及代理，区内纺织品，皮革制品为主的仓储业务，区内商业性简单加工，区内商务咨询服务（涉及许可经营的凭许可证经营）。,,私营经济,商业经纪与代理业,40,118,2002-7-18
上海市岩土地质研究院有限公司,上海,上海市灵石路９３０号,朱一鸣,,,56065237,200072,工程勘察，岩土工程，水文地质，工程测量及行业主管批准的其它业务，物探遥感，灾害地质，水资源开发，地基处理，金属材料，木材，劳务，机械设备及维修，仪器仪表及修理。,,有限责任公司,工程地质勘查业,60,200,2002-3-29
上海浦东合丰造纸机械有限公司,上海,上海市浦东新区合庆乡朝阳村,康辉,,,58974576,210201,造纸机械及配件的加工、制造及销售，纸及纸浆、机电成套设备、五金交电、建筑材料、金属材料、电子产品、日用百货、文化用品、塑料制品、装潢材料、仪器仪表、化工产品及原料（除危险品）、汽车配件的销售（涉及许可,,私营经济,制浆、造纸工业专用设备制造业,50,134,2002-9-28
上海华联国际信托贸易有限公司,上海,上海市虎丘路８８号６楼,蒋乾浩,,,63293330,200002,劳防，文化用品，日用百货，杂品，服装鞋帽，针纺织品，五金交电，家用电器，饰品，工艺品（除金银），茶。机电产品，建筑材料，金属材料。（以上经营范围涉及许可经营的凭许可证经营）,,有限责任公司,其他日用百货批发业,100,200,2002-6-3
上海远医卫生技术服务中心,上海,上海市淮海中路１１７４号,陈荣弟,,,64717729,200031,医疗器械，劳务服务（包括卫生消毒，除四害服务），室内装潢，家用电器维修，摄影，百货，针纺织品，五金交电，建筑材料，汽车配件，鲜花，工艺美术品（除专项审批），（涉及许可经营的凭许可证经营）。经营方式：批,,集体经济,医疗器械批发业,35,100,2002-4-23
上海爱侨物业管理有限公司,上海,上海市淮海中路１８０１号,王骏,,,62496569,200030,物业管理，室内装潢，水电安装，大楼清洁，家用电器维修，百货，五金交电，工艺美术品，建筑材料，装潢材料零售，代购代销（涉及许可经营的凭许可证经营）,,有限责任公司,房地产管理业,45,100,2002-8-5
上海上达医用仪表厂有限公司,上海,上海市中山南二路６００号,崔开海,,,64166959,200032,医疗器械产销，保健用品销售（涉及许可经营的凭许可证经营）。,,有限责任公司,医疗仪器、设备制造业,30,100,2002-8-1
上海宛磊国际贸易有限公司,上海,上海市外高桥保税区华京路８号５１８室,沈铭森,,,64517523,200137,国际贸易及咨询，保税区企业间的贸易及区内贸易代理，区内仓储，运输及商业性简单加工。（涉及许可经营的凭许可证经营）,,私营经济,商业经纪与代理业,80,213,2002-6-13
上海高校工程建设咨询监理有限公司,上海,上海市斜土路１１７５号８０７、８０８室,谭德忠,,,64033954,200032,工程监理专业领域内的八技服务，承担一般工业与民用建筑安装工程，公路建筑工程，给排水建筑安装工程的施工监理。,,有限责任公司,其他公共服务业,50,100,2002-5-17
上海东洲资产评估有限公司,上海,上海市工业综合开发区奉浦大道北侧１１１号,王小敏,,,62251997-807,201400,企业资产评估及咨询（Ａ级），房地产价格评估（Ｂ级）。（涉及许可经营的凭许可证经营）。,,私营经济,会计、审计、统计咨询业,63,120,2002-10-10
上海住乐机械施工有限公司,上海,上海市长宁区北翟路５７１弄１号,夏贵彪,,,62397736,200335,地基与基础工程，土石方工程施工，本公司系统货物运输，土方运输，汽车维护，机械租赁，汽车配件，机械配件，润滑油销售。（涉及许可经营的凭许可证经营）,,有限责任公司,其他土木工程建筑业,150,300,2002-4-1
上海双展精密电子有限公司,上海,上海市嘉定区马陆镇兴平路６６９号,徐龙暄,,,59516730,201818,生产单层，双层，多层印刷电路板，集成电路、各类遥控装置，电脑机箱和电脑零件部件组装；销售本公司自产产品（涉及许可经营的凭许可证经营）,,与大陆合作经营企业,电子元件制造业,85,164,2002-9-24
上海宝银电子材料有限公司,上海,上海市长宁区北祥路８８号,周文彬,,,52181044,200335,生产、加工及销售电子浆料及相关新材料，电子浆料及相关新材料领域内的科技咨询，技术开发，转让，服务，经营本企业自产产品及技术的出口业务和本企业所需的原辅材料，机械设备，零配件及技术的进口业务（除国家专项,,有限责任公司,信息化学品制造业,80,250,2002-10-10
上海贝利通信发展有限公司,上海,上海南汇沪南路９８２８号,周志和,,,50554520*5899,201300,通讯设备，包装材料，工艺艺术品的研究开发，生产及销售，计算机组装，销售，维修及服务，化工产品开发及销售，文化办公用品，日用百货的销售。,,有限责任公司,技术推广和科技交流服务业,34,100,2002-4-16
上海绿康蔬菜配销有限公司,上海,上海市古宜路１００号,王耀祖,,,64399591,200233,食品（不含熟食）销售,,有限责任公司,蔬菜、果品批发业,100,273,2002-7-1
上海静安地产集团物业有限公司,上海,上海市静安区陕西北路７２９弄８号,徐财妹,,,62721309,200040,房屋经租，房屋养护，委托代办房屋测估，物业经营管理的咨询，拆房，住宅小区，公寓的生活设施代办业务，代办产权证，附设分支机构,,有限责任公司,房地产管理业,169,100,2002-5-13
上海中信信息发展有限公司,上海,上海市静安区武定路４３５号,张曙华,,,63178010,200041,计算机软、硬件的技术开发，咨询服务，计算机及配件，计算机维修，通讯器材（除专控），文化办公机械，仪器仪表，五金交电，电器机械及器材，日用五金，汽车配件，建筑，装潢材料，服装，百货，附设分公司。,,有限责任公司,软件开发咨询业,101,100,2002-4-25
上海外经国际报关有限公司,上海,上海市延安西路３５８弄１５０２Ｂ室,葛文达,,,65460285,200040,进出口货物的报关代理，贸易咨询服务,,有限责任公司,其他类未包括的交通运输辅助业,45,150,2002-4-17
上海合源电磁阀有限公司,上海,上海市闵行区北吴路２０８号,华金南,,,64520695,200241,设计，制造，销售各类电磁阀，电气元器件，制冷设备零部件，产品及其零配件，电动机零部件，气动元件及零配件的制造，经营。（涉及许可经营的凭许可证经营）,,有限责任公司,阀门制造业,50,350,2002-3-20
上海市宏音电讯元件厂,上海,上海市黄浦区九江路２１８弄３号,施金才,,,58565140,200001,电讯元器件，金属网罩，模具，冲铸外加工，塑料制品，玩具，文具用品，仓储，建筑装饰材料，附设分支。经营方式：制造，加工。,,集体经济,电子元件制造业,60,100,2002-7-9
上海电力设计事务所,上海,上海市崇明县城桥镇西门路５１８号,蔡百川,,,69625818,202150,电力工程勘察设计乙级，工程总承包乙级，供用电新技术的研究和开发，建筑工程设计乙级。经营方式：服务,,集体经济,工程设计业,35,250,2002-7-9
上海亚达电力设备附件厂,上海,上海市广东路３００弄１３号,王培学,,,63216224,200001,电站设备配件，仪表阀门、弹簧制造，制冷配件，五金，仪表维修，生产加工限分支。（以上经营范围涉及许可经营的凭许可证经营）。经营方式：委托生产加工，修理，服务。,,股份制经济,电器设备元件制造业,110,114,2002-5-17
上海工艺品进出口公司珠宝玉器商店,上海,上海市黄浦区南京东路４３８号,周红宝,,,63516540,200001,金银饰品（含收外汇人民币），珠宝首饰，玉器，象牙雕刻，工艺美术品，收购珠宝首饰，维修金饰品。经营方式：零售，批发，收购,,国有经济,首饰业,69,200,2002-3-14
上海星牌仪器仪表有限公司,上海,上海市普陀区云岭东路４３４号,沈国伟,,,52500935-601,200062,仪器仪表及配件、电子产品及配件（生产维修）（凡涉及许可经营的项目凭许可证经营）。,,私营经济,电工仪器、仪表制造业,70,160,2002-9-3
广西机械产品上海销售维修中心,上海,上海市浦东建平路５２０号,沈顺国,,,58331560,200135,装载机及配件，通用设备及配件，汽车零部件，橡胶制品，汽车修理，机械修理，机械零部件切削加工。经营方式：零售，批发，维修加工，代购代销,,股份制经济,机械、电子设备批发业,40,224,2002-8-16
